Type	Character	Frequency
Kanji	特	21264
Kanji	院	14390
Kanji	説	19661
Kanji	病	16527
Kanji	広	15136
Kanji	急	10182
Kanji	集	20130
Kanji	京	14952
Kanji	室	10883
Kanji	赤	9695
Kanji	門	13623
Kanji	字	12347
Kanji	走	8324
Kanji	産	24809
Kanji	台	11092
Kanji	首	9888
Kanji	界	21053
Kanji	都	14864
Kanji	市	23653
Kanji	黒	8707
Kanji	験	13378
Kanji	進	19046
Kanji	村	15504
Kanji	服	7188
Kanji	遠	8166
Kanji	紙	8791
Kanji	便	6176
Kanji	計	17614
Kanji	注	12043
Kanji	族	14485
Kanji	去	7743
Kanji	民	29738
Kanji	町	13450
Kanji	軽	6154
Kanji	青	7786
Kanji	茶	7062
Kanji	洗	4856
Kanji	歌	8854
Kanji	低	8939
Kanji	旅	6883
Kanji	試	7172
Kanji	映	7297
Kanji	兄	5771
Kanji	働	13350
Kanji	写	8012
Kanji	工	13335
Kanji	肉	6997
Kanji	犬	4264
Kanji	英	7548
Kanji	薬	7923
Kanji	夏	5022
Kanji	建	12715
Kanji	春	6241
Kanji	暗	5237
Kanji	医	11715
Kanji	習	8887
Kanji	弟	5369
Kanji	短	5171
Kanji	県	9527
Kanji	弱	4834
Kanji	銀	7734
Kanji	館	8221
Kanji	洋	6229
Kanji	昼	3359
Kanji	夕	3866
Kanji	図	15972
Kanji	森	4859
Kanji	姉	3157
Kanji	飯	3215
Kanji	秋	4622
Kanji	曜	2941
Kanji	鳥	4099
Kanji	堂	4716
Kanji	借	5116
Kanji	勉	3594
Kanji	区	8191
Kanji	冬	2967
Kanji	妹	2530
Kanji	池	3121
Kanji	林	5450
Kanji	寒	2683
Kanji	研	11197
Kanji	牛	2589
Kanji	菜	3125
Kanji	究	10584
Kanji	貸	3538
Kanji	暑	1385
Kanji	漢	3030
Kanji	的	101090
Kanji	性	55767
Kanji	部	51645
Kanji	実	50915
Kanji	当	48129
Kanji	対	48807
Kanji	彼	48221
Kanji	定	49492
Kanji	内	41248
Kanji	関	43603
Kanji	現	40799
Kanji	要	43201
Kanji	最	36709
Kanji	法	46432
Kanji	感	37870
Kanji	取	38285
Kanji	化	40256
Kanji	全	35443
Kanji	成	37465
S-Sign	々	34133
Kanji	変	33169
Kanji	結	31276
Kanji	面	31178
Kanji	相	31484
Kanji	身	31459
Kanji	数	32233
Kanji	無	31187
Kanji	表	29838
Kanji	向	27937
Kanji	解	26891
Kanji	期	28107
Kanji	信	26179
Kanji	機	28397
Kanji	経	31382
Kanji	次	25512
Kanji	能	26799
Kanji	在	26309
Kanji	受	25721
Kanji	原	25701
Kanji	必	26385
Kanji	情	25578
Kanji	記	25874
Kanji	戦	28917
Kanji	第	28012
Kanji	様	22852
Kanji	活	26002
Kanji	保	27767
Kanji	然	22972
Kanji	連	24264
Kanji	神	28914
Kanji	点	23535
Kanji	付	23754
Kanji	違	23313
Kanji	決	24816
Kanji	初	21264
Kanji	直	20831
Kanji	平	22655
Kanji	調	22103
Kanji	利	24696
Kanji	政	29266
Kanji	確	21159
Kanji	形	21179
Kanji	続	21377
Kanji	込	20471
Kanji	治	23840
Kanji	指	20719
Kanji	他	20479
Kanji	状	21028
Kanji	流	19931
Kanji	得	20916
Kanji	葉	20619
Kanji	義	21728
Kanji	加	20355
Kanji	論	21519
Kanji	制	23206
Kanji	果	20063
Kanji	組	19954
Kanji	常	18160
Kanji	過	17874
Kanji	係	19197
Kanji	置	18444
Kanji	配	17445
Kanji	落	18620
Kanji	報	19544
Kanji	存	17869
Kanji	和	18931
Kanji	公	20294
Kanji	夫	17750
Kanji	可	17441
Kanji	伝	17500
Kanji	由	17107
Kanji	供	16652
Kanji	反	16932
Kanji	達	16275
Kanji	返	15893
Kanji	命	16803
Kanji	応	16040
Kanji	残	14971
Kanji	態	15819
Kanji	美	17960
Kanji	認	17349
Kanji	際	16627
Kanji	想	15975
Kanji	示	16767
Kanji	約	17560
Kanji	基	17164
Kanji	良	18656
Kanji	張	14285
Kanji	等	16214
Kanji	支	16572
Kanji	選	15810
Kanji	設	18077
Kanji	務	19857
Kanji	式	15695
Kanji	識	15175
Kanji	位	14660
Kanji	格	15453
Kanji	呼	14296
Kanji	参	14480
Kanji	交	14783
Kanji	番	15261
Kanji	断	13912
Kanji	役	14689
Kanji	歳	14325
Kanji	例	14672
Kanji	容	13601
Kanji	観	13874
Kanji	件	16100
Kanji	構	14390
Kanji	価	18781
Kanji	術	14328
Kanji	士	13986
Kanji	側	13380
Kanji	軍	17439
Kanji	限	14290
Kanji	職	14442
Kanji	育	17897
Kanji	消	13442
Kanji	共	14191
Kanji	両	12629
Kanji	線	13654
Kanji	島	14926
Kanji	議	16752
Kanji	段	12831
Kanji	判	18054
Kanji	権	22100
Kanji	単	12887
Kanji	種	14064
Kanji	覚	12751
Kanji	郎	15800
Kanji	放	12151
Kanji	視	12174
Kanji	離	11751
Kanji	個	12864
Kanji	求	13627
Kanji	愛	12840
Kanji	予	12349
Kanji	若	12126
Kanji	石	13092
Kanji	氏	12820
Kanji	失	11624
Kanji	象	12241
Kanji	資	19338
Kanji	造	12709
Kanji	条	17007
Kanji	告	12136
Kanji	接	11358
Kanji	類	12004
Kanji	異	11344
Kanji	難	10813
Kanji	念	11518
Kanji	程	11222
Kanji	助	11234
Kanji	深	11003
Kanji	師	12112
Kanji	害	12921
Kanji	素	12025
Kanji	任	12714
Kanji	満	10217
Kanji	済	14410
Kanji	団	11304
Kanji	査	12443
Kanji	差	10346
Kanji	根	10605
Kanji	再	10590
Kanji	与	11016
Kanji	誰	10879
Kanji	科	11272
Kanji	勝	10219
Kanji	検	11118
Kanji	割	10481
Kanji	階	10061
Kanji	戸	11754
Kanji	具	9732
Kanji	望	9613
Kanji	規	12582
Kanji	効	11380
Kanji	収	11083
Kanji	量	11983
Kanji	増	11168
Kanji	非	9859
Kanji	号	10452
Kanji	証	11665
Kanji	殺	11083
Kanji	域	10837
Kanji	介	10199
Kanji	苦	10124
Kanji	型	10857
Kanji	居	9911
Kanji	比	10032
Kanji	改	11174
Kanji	追	9214
Kanji	頼	9534
Kanji	御	10979
Kanji	移	9829
Kanji	備	10110
Kanji	座	9578
Kanji	史	11097
Kanji	姿	9882
Kanji	値	10799
Kanji	笑	12226
Kanji	護	11931
Kanji	商	11312
Kanji	打	9015
Kanji	器	10068
Kanji	争	11594
Kanji	影	8994
Kanji	飛	9742
Kanji	局	9258
Kanji	官	11074
Kanji	王	12074
Kanji	井	9719
Kanji	除	9818
Kanji	振	9242
Kanji	馬	10535
Kanji	絶	8619
Kanji	勢	9232
Kanji	細	11008
Kanji	評	9922
Kanji	労	10839
Kanji	守	8927
Kanji	米	9855
Kanji	精	9369
Kanji	客	10163
Kanji	境	9359
Kanji	処	9464
Kanji	君	9535
Kanji	統	9644
Kanji	頃	8874
Kanji	婚	9939
Kanji	息	9268
Kanji	察	9431
Kanji	囲	8325
Kanji	府	10691
Kanji	登	8779
Kanji	費	10862
Kanji	負	8796
Kanji	路	8889
Kanji	提	9902
Kanji	述	9165
Kanji	願	10028
Kanji	突	8808
Kanji	兵	10657
Kanji	独	8629
Kanji	周	8342
Kanji	抜	8288
S-Kana-Katakana	ヴ	9447
Kanji	優	8145
Kanji	各	9043
Kanji	総	9385
Kanji	険	9193
Kanji	申	8814
Kanji	渡	8517
Kanji	営	11614
Kanji	藤	8648
Kanji	派	8668
Kanji	系	8350
Kanji	像	8377
Kanji	背	8429
Kanji	戻	8293
Kanji	横	8173
Kanji	普	8716
Kanji	極	7952
Kanji	管	9062
Kanji	寄	8004
Kanji	章	8281
Kanji	技	8849
Kanji	降	7761
Kanji	従	8395
Kanji	武	9377
Kanji	紀	8850
Kanji	吉	9177
Kanji	導	8685
Kanji	末	7681
Kanji	宮	8785
Kanji	老	8359
Kanji	押	7638
Kanji	歴	8002
Kanji	展	8082
Kanji	準	8730
Kanji	般	7666
Kanji	帯	7285
Kanji	完	7221
Kanji	我	7598
Kanji	談	7254
Kanji	余	6942
Kanji	響	7112
Kanji	為	8819
Kanji	策	9119
Kanji	船	8264
Kanji	松	7898
Kanji	修	7103
Kanji	適	8044
Kanji	園	7401
Kanji	婦	7461
Kanji	景	7414
Kanji	材	7843
Kanji	庭	7281
Kanji	製	8600
Kanji	因	7365
Kanji	越	6786
Kanji	将	7572
Kanji	積	7692
Kanji	額	10050
Kanji	払	7723
Kanji	江	8757
Kanji	録	7079
Kanji	率	9040
Kanji	僕	8481
Kanji	熱	7563
Kanji	欲	7103
Kanji	整	7453
Kanji	担	8032
Kanji	換	7402
Kanji	投	9006
Kanji	許	7234
Kanji	領	7845
Kanji	衛	8349
Kanji	故	6695
Kanji	案	7953
Kanji	宅	7231
Kanji	興	6701
Kanji	況	7302
Kanji	含	7092
Kanji	冷	7051
Kanji	緒	7100
Kanji	幸	7139
Kanji	端	6582
Kanji	及	7438
Kanji	遊	7005
Kanji	雑	6493
Kanji	照	6833
Kanji	織	7389
Kanji	激	6499
Kanji	血	9596
Kanji	源	6728
Kanji	福	7363
Kanji	農	7835
Kanji	退	6610
Kanji	巻	6661
Kanji	逆	6180
Kanji	施	7626
Kanji	警	8123
Kanji	困	6189
Kanji	給	7373
Kanji	速	7048
Kanji	未	6065
Kanji	減	7445
Kanji	防	6911
Kanji	草	7116
Kanji	似	6059
Kanji	州	7069
Kanji	養	6725
Kanji	沢	6604
Kanji	環	7339
Kanji	並	6148
Kanji	復	6008
Kanji	撃	6932
Kanji	専	6367
Kanji	節	6729
Kanji	遺	7047
Kanji	密	6131
Kanji	鉄	6461
Kanji	隊	7817
Kanji	探	6046
Kanji	協	7205
Kanji	危	6100
Kanji	昭	6960
Kanji	志	6505
Kanji	破	6319
Kanji	倒	5821
Kanji	谷	6347
Kanji	辺	6245
Kanji	恐	5959
Kanji	酒	6701
Kanji	司	6201
Kanji	抱	6165
Kanji	浮	6350
Kanji	痛	7614
Kanji	簡	5714
Kanji	諸	6576
Kanji	印	5869
Kanji	城	7439
Kanji	裏	5663
Kanji	布	5753
Kanji	妻	6113
Kanji	席	5708
Kanji	算	7879
Kanji	仲	5720
Kanji	寺	7722
Kanji	途	5452
Kanji	固	5636
Kanji	奥	6369
Kanji	蔵	5940
Kanji	寝	6445
Kanji	皇	8090
Kanji	焼	6149
Kanji	疑	5660
Kanji	清	6075
Kanji	佐	6295
Kanji	省	6165
Kanji	納	5514
Kanji	企	11468
Kanji	装	5862
Kanji	訳	5849
Kanji	載	6009
Kanji	曲	6655
Kanji	責	6386
Kanji	香	6121
Kanji	静	5932
Kanji	波	5928
Kanji	嫌	6317
Kanji	編	5584
Kanji	温	6367
Kanji	昔	5491
Kanji	喜	5584
Kanji	留	5755
Kanji	障	6552
Kanji	角	5608
Kanji	己	5945
Kanji	球	6342
Kanji	片	5357
Kanji	補	5755
Kanji	底	5110
Kanji	革	6399
Kanji	眼	6172
Kanji	散	5097
Kanji	宗	7029
Kanji	演	6617
Kanji	夢	5678
Kanji	忘	5208
Kanji	財	7663
Kanji	久	5620
Kanji	丸	5484
Kanji	略	5752
Kanji	互	5067
Kanji	恵	5373
Kanji	乱	5181
Kanji	訪	5123
Kanji	則	5850
Kanji	貴	5331
Kanji	課	6018
Kanji	圧	5337
Kanji	傷	5019
Kanji	児	6637
Kanji	授	5481
Kanji	橋	5722
Kanji	推	5261
Kanji	岡	5227
Kanji	属	5102
Kanji	級	5044
Kanji	触	4759
Kanji	掛	4963
Kanji	健	5540
Kanji	徴	4993
Kanji	税	8091
Kanji	被	6101
Kanji	亡	4811
Kanji	礼	5754
Kanji	娘	5694
Kanji	著	5245
Kanji	盛	5056
Kanji	逃	5291
Kanji	腹	5616
Kanji	崎	5162
Kanji	更	5244
Kanji	列	5135
Kanji	項	6717
Kanji	宿	5504
Kanji	河	5420
Kanji	令	5511
Kanji	創	4993
Kanji	標	5569
Kanji	抗	5112
Kanji	徳	5295
Kanji	暮	4714
Kanji	善	4927
Kanji	街	4977
Kanji	超	4835
Kanji	遅	4441
Kanji	否	5139
Kanji	絵	5996
Kanji	版	4974
Kanji	之	5721
Kanji	継	4717
Kanji	犯	6043
Kanji	陸	5077
Kanji	康	4837
Kanji	折	4541
Kanji	順	4527
Kanji	豊	4849
Kanji	弁	6487
Kanji	勤	4610
Kanji	厳	4485
Kanji	混	4602
Kanji	刻	4555
Kanji	模	4797
Kanji	欠	4567
Kanji	富	4526
Kanji	称	4622
Kanji	舞	5275
Kanji	練	4394
Kanji	壊	4356
Kanji	隠	4685
Kanji	罪	6151
Kanji	挙	5389
Kanji	敗	4333
Kanji	療	8858
Kanji	秘	4428
Kanji	閉	4378
Kanji	替	4706
Kanji	脱	4040
Kanji	敵	4794
Kanji	衆	4882
Kanji	悲	4743
Kanji	陽	4655
Kanji	芸	5579
Kanji	拠	4737
Kanji	紹	4113
Kanji	易	4598
Kanji	益	6391
Kanji	描	5212
Kanji	尾	4583
Kanji	皆	4985
Kanji	驚	4398
Kanji	毛	4727
Kanji	委	5350
Kanji	板	4313
Kanji	請	5511
Kanji	玉	4266
Kanji	怒	4500
Kanji	植	5209
Kanji	築	5045
Kanji	徒	5234
Kanji	攻	4463
Kanji	援	4890
Kanji	党	7052
Kanji	純	3917
Kanji	監	5055
Kanji	岩	4582
Kanji	功	4216
Kanji	充	3847
Kanji	永	4433
Kanji	鮮	4537
Kanji	齢	5040
Kanji	捨	3954
Kanji	律	4951
Kanji	扱	4064
Kanji	避	3921
Kanji	油	4459
Kanji	絡	4779
Kanji	層	4355
Kanji	傾	3986
Kanji	鳴	4769
Kanji	講	4103
Kanji	繰	3819
Kanji	筆	4248
Kanji	妙	4461
Kanji	束	3955
Kanji	壁	4290
Kanji	薄	4125
Kanji	包	3825
Kanji	敷	4420
Kanji	雪	4628
Kanji	討	4122
Kanji	枚	3894
Kanji	詳	3946
Kanji	津	4760
Kanji	迎	3807
Kanji	胸	4790
Kanji	届	3987
Kanji	占	4232
Kanji	株	6846
Kanji	吸	4921
Kanji	染	4228
Kanji	採	4104
Kanji	慣	3574
Kanji	依	3918
Kanji	仮	3739
Kanji	房	3932
Kanji	弾	3983
Kanji	至	3796
Kanji	踏	3555
Kanji	握	3657
Kanji	阪	3754
Kanji	複	3940
Kanji	範	4038
Kanji	縁	3733
Kanji	刺	4076
Kanji	筋	4443
Kanji	快	3563
Kanji	伊	4414
Kanji	柄	3615
Kanji	誘	3457
Kanji	祖	4069
Kanji	岸	4111
Kanji	泉	3855
Kanji	惑	3563
Kanji	博	3789
Kanji	丈	4445
Kanji	眠	4049
Kanji	典	3819
Kanji	迷	3735
Kanji	誌	3747
Kanji	射	4379
Kanji	栄	3724
Kanji	伸	3796
Kanji	帝	4437
Kanji	聴	3674
Kanji	滅	3604
Kanji	群	3913
Kanji	浜	3609
Kanji	隣	3477
Kanji	救	3686
Kanji	坂	4060
Kanji	承	3799
Kanji	就	3679
Kanji	骨	4181
Kanji	致	3380
Kanji	庫	3791
Kanji	翌	3545
Kanji	窓	3846
Kanji	腕	4193
Kanji	禁	3593
Kanji	延	3394
Kanji	跡	4141
Kanji	華	3551
Kanji	床	3818
Kanji	辞	3742
Kanji	裁	6638
Kanji	臣	4043
Kanji	暴	3844
Kanji	瞬	3770
Kanji	厚	3613
Kanji	遣	3405
Kanji	儀	3812
Kanji	札	6892
Kanji	憶	3358
Kanji	努	3419
Kanji	昨	3785
Kanji	測	4144
Kanji	慮	3368
Kanji	髪	3951
Kanji	怖	3583
Kanji	港	3813
Kanji	微	3527
Kanji	俺	6410
Kanji	旧	3510
Kanji	了	3376
Kanji	恋	3931
Kanji	輪	3383
Kanji	幼	3733
Kanji	駆	3319
Kanji	希	3169
Kanji	捕	3467
Kanji	秀	3633
Kanji	維	3478
Kanji	羽	3545
Kanji	仏	5679
Kanji	倉	3854
Kanji	闘	3530
Kanji	聖	4558
Kanji	迫	3236
Kanji	雄	3486
Kanji	候	3241
Kanji	損	4335
Kanji	乳	4228
Kanji	掲	3405
Kanji	泣	3724
Kanji	央	3380
Kanji	衣	3289
Kanji	腰	4115
Kanji	湯	3572
Kanji	拡	3589
Kanji	較	3270
Kanji	砂	3476
Kanji	悩	3372
Kanji	尊	3572
Kanji	競	3810
Kanji	幕	4071
Kanji	携	3408
Kanji	吹	3371
Kanji	刑	4353
Kanji	荷	3099
Kanji	概	3277
Kanji	謝	3016
Kanji	賀	3456
Kanji	巨	2886
Kanji	排	3261
Kanji	肩	3655
Kanji	択	3713
Kanji	宣	3199
Kanji	星	4060
Kanji	奇	3083
Kanji	殿	3984
Kanji	摘	3105
Kanji	詰	2992
Kanji	削	3793
Kanji	批	3329
Kanji	到	2867
Kanji	歯	3793
Kanji	甲	3198
Kanji	樹	3314
Kanji	汚	3107
Kanji	里	3337
Kanji	甘	3071
Kanji	督	3093
Kanji	締	3349
Kanji	卒	2980
Kanji	陰	3067
Kanji	郷	3452
Kanji	皮	4179
Kanji	玄	3183
Kanji	露	2888
Kanji	契	4030
Kanji	献	2804
Kanji	誤	2842
Kanji	箱	2961
Kanji	袋	3722
Kanji	釈	3431
Kanji	剣	3392
Kanji	販	3763
Kanji	緊	2732
Kanji	祭	3881
Kanji	魔	3423
Kanji	倍	3001
Kanji	忠	3330
Kanji	崩	2777
Kanji	晴	2938
Kanji	黄	3159
Kanji	宇	3097
Kanji	症	5617
Kanji	句	3090
Kanji	債	5898
Kanji	輸	3668
Kanji	黙	3429
Kanji	爆	2984
Kanji	如	3473
Kanji	廃	3105
Kanji	脳	3769
Kanji	竹	2864
Kanji	訴	4176
Kanji	頂	2985
Kanji	那	3207
Kanji	幹	2707
Kanji	荒	2770
Kanji	針	2766
Kanji	艦	3400
Kanji	干	2648
Kanji	執	3342
Kanji	駄	2748
Kanji	即	2634
Kanji	疲	2838
Kanji	濃	3092
Kanji	刊	2891
Kanji	鹿	2845
